schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2023-12-19T17:00:00Z,1h,coinbase-exchange:BTC-USD,42316.13,42343.65,41793.78,41822.86,1412.77244335,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T18:00:00Z,1h,coinbase-exchange:BTC-USD,41823.04,42209.88,41780,42190.91,771.25658905,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T19:00:00Z,1h,coinbase-exchange:BTC-USD,42190.91,42469.51,42117.89,42305.59,796.96646135,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T20:00:00Z,1h,coinbase-exchange:BTC-USD,42310.67,42363.61,42087.79,42197.38,1140.84889539,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T21:00:00Z,1h,coinbase-exchange:BTC-USD,42200.92,42499,42182.28,42499,528.64758715,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T22:00:00Z,1h,coinbase-exchange:BTC-USD,42498.65,42499,42228.47,42307.88,336.79103804,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-19T23:00:00Z,1h,coinbase-exchange:BTC-USD,42309.97,42389.99,42179,42266.22,252.04785963,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T00:00:00Z,1h,coinbase-exchange:BTC-USD,42266.25,42427.81,42221.77,42403.9,495.25892795,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T01:00:00Z,1h,coinbase-exchange:BTC-USD,42402.73,42479.46,42220.96,42293.3,215.00681859,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T02:00:00Z,1h,coinbase-exchange:BTC-USD,42297.48,42451.81,42184.48,42415.78,195.2875135,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T03:00:00Z,1h,coinbase-exchange:BTC-USD,42415.78,42461.35,42343.79,42407.49,158.05806896,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T04:00:00Z,1h,coinbase-exchange:BTC-USD,42406.84,42844.45,42356.14,42795.12,505.60656407,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T05:00:00Z,1h,coinbase-exchange:BTC-USD,42793.09,42820.33,42570.78,42700.18,261.99471345,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T06:00:00Z,1h,coinbase-exchange:BTC-USD,42701.17,43001.91,42619.56,42860.18,406.60012042,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T07:00:00Z,1h,coinbase-exchange:BTC-USD,42860.18,42952.4,42783.46,42904.44,189.26648115,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T08:00:00Z,1h,coinbase-exchange:BTC-USD,42904.43,42982.79,42739.02,42764.44,300.93539813,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T09:00:00Z,1h,coinbase-exchange:BTC-USD,42769.1,42945.52,42712.62,42781.64,215.62061635,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T10:00:00Z,1h,coinbase-exchange:BTC-USD,42783.64,42866.62,42670.58,42863.01,375.04649215,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T11:00:00Z,1h,coinbase-exchange:BTC-USD,42865.45,42986.91,42741.46,42861.04,352.32325158,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T12:00:00Z,1h,coinbase-exchange:BTC-USD,42859.76,42999.86,42755.35,42978.11,283.65333398,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T13:00:00Z,1h,coinbase-exchange:BTC-USD,42978.52,43784.99,42976.09,43774.3,1768.46701531,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-20T14:00:00Z,1h,coinbase-exchange:BTC-USD,43770.54,44188.54,43610.84,43898.66,2423.91072782,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
